ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
2893506,400,HOMICIDIO,1,Simple,2,2025-04-04,22:55:00,8,1,1.1.2,Mexico,15,"CUAUTITLAN IZCALLI",001,001,15121,"LOMAS DEL BOSQUE",3145,54765,19.427561,-98.957015,"CHAMAPA - LECHERIA"
2893506,443,LESIONES,0,Simple,2,2025-04-04,22:55:00,8,1,1.2.2,Mexico,15,"CUAUTITLAN IZCALLI",002,002,15121,"LOMAS DEL BOSQUE",3145,54765,19.427561,-98.957015,"CHAMAPA - LECHERIA"
2894962,400,HOMICIDIO,1,Simple,2,2025-04-05,03:35:00,8,1,1.1.2,Mexico,15,TULTITLAN,003,003,15109,"CONJUNTO BRILLANTE",3064,54713,19.427561,-98.957015,"SIN DATOS DE LA CALLE"
2894962,443,LESIONES,0,Simple,2,2025-04-05,03:35:00,8,1,1.2.2,Mexico,15,TULTITLAN,004,004,15109,"CONJUNTO BRILLANTE",3064,54713,19.427561,-98.957015,"SIN DATOS DE LA CALLE"
2901192,400,HOMICIDIO,1,Simple,2,2025-04-10,23:40:00,8,1,1.1.2,Mexico,15,TULTEPEC,005,005,15108,"SAN PABLITO (PARAJE SAN PABLITO)",3064,54713,19.427561,-98.957015,"CIRCUITO EXTERIOR MEXIQUENCE "
2901192,126,"DAÑO EN LOS BIENES",0,Simple,2,2025-04-10,23:40:00,8,1,4.5,Mexico,15,TULTEPEC,006,006,15108,"SAN PABLITO (PARAJE SAN PABLITO)",3064,54713,19.427561,-98.957015,"CIRCUITO EXTERIOR MEXIQUENCE "
2891781,400,HOMICIDIO,1,Simple,1,2025-04-02,19:30:00,1,1,1.1.1,Mexico,15,TULTITLAN,007,007,15109,"IZCALLI SAN PABLO",3064,54713,19.427561,-98.957015,"AVENIDA LA PRADERA"
2891781,443,LESIONES,0,Simple,1,2025-04-02,19:30:00,1,1,1.2.1,Mexico,15,TULTITLAN,008,008,15109,"IZCALLI SAN PABLO",3064,54713,19.427561,-98.957015,"AVENIDA LA PRADERA"
2898482,400,HOMICIDIO,1,Simple,1,2025-04-08,07:40:00,7,1,1.1.1,Mexico,15,"CUAUTITLAN IZCALLI",009,009,15121,"SAN LORENZO RIO TENCO",3064,54713,19.427561,-98.957015,"EMISOR PONIENTE"
2920357,400,HOMICIDIO,1,Simple,1,2025-04-26,13:20:00,1,1,1.1.1,Mexico,15,"MELCHOR OCAMPO",010,010,15053,VISITACION,3273,54890,19.427561,-98.957015,"HIMNO NACIONAL"
2920357,443,LESIONES,0,Simple,1,2025-04-26,13:20:00,1,1,1.2.1,Mexico,15,"MELCHOR OCAMPO",011,011,15053,VISITACION,3273,54890,19.427561,-98.957015,"HIMNO NACIONAL"
