ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL,REL_VIC_VMARIO
9960412,996041200218,44447438,1,,2,2,0,0,,50,73,"No identificada"
9960413,996041300055,44447440,1,,2,2,0,0,,36,73,"No identificada"
9960414,996041400086,44447441,1,,1,1,0,0,,39,73,"No identificada"
9960415,996041500048,44447506,2,6,,,,,,,,
9960416,996041600252,44447444,1,,2,2,0,0,,62,73,"No identificada"
9960417,996041700218,44447446,1,,2,2,0,0,,56,73,"No identificada"
9960418,996041800050,44447448,1,,2,2,0,0,,35,73,"No identificada"
9960419,996041900169,44447449,1,,1,1,0,0,,32,73,"No identificada"
9960420,996042000218,44447451,1,,2,2,0,0,,26,73,"No identificada"
9960421,996042100050,44447453,1,,1,1,0,0,,41,73,"No identificada"
9960422,996042200083,44447454,1,,1,1,0,0,,81,73,"No identificada"
9960423,996042300061,44447457,1,,1,1,0,0,,"No especificado",73,"No identificada"
9960424,996042400179,44447458,1,,1,1,0,0,,86,73,"No identificada"
9960425,996042500061,44447460,1,,1,1,0,0,,27,73,"No identificada"
9960426,996042600020,44447528,1,,1,1,0,0,,33,73,"No identificada"
9960428,996042801204,44447475,2,6,,,,,,,,
9960429,996042900016,44447501,2,6,,,,,,,,
9960430,996043000239,44447497,1,,2,2,0,0,,24,73,"No identificada"
9960431,996043100110,44447498,1,,1,1,0,0,,"No especificado",73,"No identificada"
9960431,996043100110,44447499,1,,1,1,0,0,,"No especificado",73,"No identificada"
9960432,996043201204,44447513,2,6,,,,,,,,
9960433,996043300174,44447516,1,,1,1,0,0,,"No especificado",73,"No identificada"
9960434,996043400061,44447519,1,,1,1,0,0,,"No especificado",73,"No identificada"
9960435,996043500238,44447522,1,,1,1,0,0,,29,73,"No identificada"
9960436,996043600176,44447523,1,,1,1,0,0,,55,73,"No identificada"
9960437,996043700218,44447524,1,,1,1,0,0,,40,73,"No identificada"
9960438,996043800179,44447526,1,,1,1,0,0,,24,73,"No identificada"
9960439,996043900034,44447586,2,6,,,,,,,,
