ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
4DC4CCE7-5F0B-4E36-B2F4-6E81C8ADC38B,006DE32A-89B1-4BDC-9128-624C7220AB1C,"Abuso sexual",1,Doloso,2,2024-11-22,11:19:00,8,1,3.1,Chiapas,7,"Tuxtla Gutiérrez",101,"La Pimienta",71010337,"La Pimienta",209,0,-93.119430541992,16.753555722429,"Copoya, LA PIMIENTA, TUXTLA GUTIERREZ, CHIAPAS, 00000"
0F0FEEFC-F974-4290-AA37-FA15C404F194,012B7DD2-A37C-4BFA-A99C-4F975C411E68,Violación,1,Doloso,1,2025-05-19,19:55:00,3,2,3.8.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"Albania Baja",28,29010,-93.110418319702,16.776839036236,"Avenida 20 de Noviembre, ALBANIA BAJA, TUXTLA GUTIERREZ, CHIAPAS, 29010"
F5FDE5FB-5FAF-4EEE-B840-5CBE586CC395,0260689F-3491-47AC-A77A-04F257740908,Homicidio,1,Culposo,1,2025-05-28,13:01:00,8,1,1.1.2,Chiapas,7,"Tuxtla Chico",102,"Tuxtla Chico",71020001,"Medio Monte 2a Sección",13,30870,-92.17610836029,14.931113850208,"Primera Sección de Izapa, MEDIO MONTE 2A SECCION, TUXTLA CHICO, CHIAPAS, 30870"
B62B1DB7-F4F6-4836-95EC-2AC2AF8DA16A,027838C7-1CFE-4678-A2DA-40CC38229176,"Contra la salud (Narcomenudeo)",1,Doloso,2,2025-05-02,23:41:00,8,1,7.1.2,Chiapas,7,"Frontera Comalapa",34,"Frontera Comalapa",70340001,"Centro Frontera comalapa",27,30140,-92.143020629883,15.659037096478,"El Triunfo, CENTRO FRONTERA COMALAPA, FRONTERA COMALAPA, CHIAPAS, 30140"
4A9A0F93-1726-4142-A641-57F1FC33F3E7,02EBC70A-AB8A-4E92-9DE0-EED804506A37,"Desobediencia y resistencia de particulares",1,Doloso,2,2025-05-18,18:07:00,6,1,7.11.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"Residencial  Granja",351,29030,-93.137387663277,16.755684309087,"Calichal, RESIDENCIAL  GRANJA, TUXTLA GUTIERREZ, CHIAPAS, 29030"
508EC999-166D-4742-8BD1-3D2A00278379,03651E42-6920-47A9-81DC-F8F60519A74B,Lesiones,0,Doloso,1,2025-05-18,18:37:00,1,1,1.2.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"Nueva Jerusalen",461,29020,-93.207192420959,16.786032411916,"Tuxtla Gutiérrez, NUEVA JERUSALEN, TUXTLA GUTIERREZ, CHIAPAS, 29020"
ED858BD3-BCCB-4460-A97F-BF5549F1A818,03A21C64-FACC-434E-8498-59AB9DEBA036,"Violencia familiar",1,Doloso,1,2025-05-19,20:36:00,8,1,5.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"San Francisco",374,29066,-93.114658918264,16.739665753385,"Calle 4 Oriente Sur SAN FRANCISCO TUXTLA GUTIERREZ CHIAPAS 29066"
71F4184E-6477-435E-9CD0-49EAAD8472AC,03CB054C-0737-49EC-8559-BF856538F4F9,Homicidio,1,Culposo,1,2025-05-25,18:45:00,4,1,1.1.2,Chiapas,7,Acapetahua,3,Acapetahua,70030001,"Otra colonia",-10,30580,-92.747039185015,15.253873114957,"OTRA COLONIA, ACAPETAHUA, CHIAPAS, 30580"
648659E8-90EB-48C8-BA04-FBDF8055D6F4,03F5F59E-B269-4A26-8241-46A84AAA0658,"Ataques a las vías de comunicación",1,Culposo,1,2025-05-31,20:25:00,8,1,7.10,Chiapas,7,Tenejapa,93,Tenejapa,70930001,"Otra colonia",-10,29480,-92.506272601811,16.818913205631,"OTRA COLONIA, TENEJAPA, CHIAPAS, 29480"
8C90B13F-B36B-4E4C-AEDE-D23664E979A0,0477973E-6C10-4B09-8673-619643AAC862,"Violencia familiar",1,Doloso,1,2025-03-15,10:40:00,8,1,5.1,Chiapas,7,Palenque,65,Palenque,70650001,"Los Robles",50,29960,-91.988697052002,17.498990767307,"Palenque, LOS ROBLES, PALENQUE, CHIAPAS, 29960"
6A521BB1-DBC1-48FF-853F-A5F051890136,049FE3C4-3597-478B-A08D-56ED3DE57B03,Pederastia,1,Doloso,2,2025-05-14,12:28:00,6,1,3.7,Chiapas,7,Palenque,65,Palenque,70650001,"Otra colonia",-10,29960,-91.988697052002,17.497844742775,"Palenque, OTRA COLONIA, PALENQUE, CHIAPAS, 29960"
E7588F26-57B0-41A3-9B4A-CABDDD5C897F,04C7AF12-6E50-49A7-8E84-25903C111B00,"Contra la salud (Narcomenudeo)",1,Doloso,2,2025-05-16,11:54:00,8,1,7.1.2,Chiapas,7,Palenque,65,Palenque,70650001,"Palenque Centro",67,29960,-91.976852416992,17.504297431777,"Palenque, PALENQUE CENTRO, PALENQUE, CHIAPAS, 29960"
242B47A9-54CF-472D-B483-6AD0F202A050,0599810F-F124-4FB8-B200-8F9E93BC965C,Ecocidio,1,Doloso,2,2025-05-21,04:35:00,6,1,7.7,Chiapas,7,Ocosingo,59,Ocosingo,70590001,"Ocosingo Centro",76,29950,-92.103452682495,16.919437649707,"OCOSINGO CENTRO, OCOSINGO, CHIAPAS, 29950"
1398F171-9335-4242-A0B5-9E34BE1A5BA5,05B24AD0-C355-47C4-8408-E5E527075EA7,"Violencia familiar",1,Doloso,1,2025-05-28,12:00:00,6,1,5.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"La Misión",207,29096,-93.073253631592,16.741597069391,"Boulevard La Mision, LA MISION, TUXTLA GUTIERREZ, CHIAPAS, 29096"
0D56E38D-E60C-45E6-B03F-E74EFD705394,06180AD1-245E-470C-A5AE-5EDCA9C4EBAF,"Armas prohibidas",1,Doloso,2,2025-05-04,12:15:00,8,1,7.10,Chiapas,7,Tapachula,89,"Tapachula de Córdova y Ordóñez",70890001,"Brisas del Cahuacan",44,30789,-92.279701242616,14.886899486764,"Framboyanes, BRISAS DEL CAHUACAN, TAPACHULA, CHIAPAS, 30789"
FD0F92F0-BA49-4BC8-8CF2-93D6494DF81C,062899EC-AD04-4D30-9331-E4FCC214A56A,"Robo a Transeúnte",1,Doloso,1,2025-05-18,18:36:00,1,1,4.1.6,Chiapas,7,Berriozábal,12,Berriozábal,70120001,Berriozabal,3,29130,-93.271264477431,16.7964440653,"San Miguel, BERRIOZABAL, BERRIOZABAL, CHIAPAS, 29130"
A6DA02CA-6CE0-45EE-ACDA-3E46E23EA0EB,06F0FA56-2934-495E-90CE-35AFF188B67B,"Robo a Casa Habitación",1,Doloso,1,2023-09-17,07:00:00,6,1,4.1.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"Real del Bosque",349,0,-93.106048921317,16.742323676358,"AVENIDA DE LOS CIRUELOS NUMERO 350, VIVIENDA “A”, MANZANA 47 LOTE 49 DEL CONDOMINIO DENOMINADO “PALMA REAL 08” DEL FRACCIONAMIENTO REAL DEL BOSQUE, TUXTLA GUTIERREZ, CHIAPAS,México"
CBB04B4D-E22E-4E57-8ED5-71D8CC7B6517,070BDFA0-FEE5-46FE-AC80-E94C733C687F,"Robo de Vehículo",1,Doloso,2,2025-04-26,17:30:00,6,1,4.1.2.2,Chiapas,7,Escuintla,32,Escuintla,70320001,Escuintla,31,30600,-92.655000686645,15.324307678379,"Boulevard Benito Juarez ESCUINTLA ESCUINTLA CHIAPAS 30600"
4B2BAED6-3E9D-4FF2-BA57-635BC0C7E321,071988A4-A0D1-4F2B-9A8C-19F4915F076F,"Contra la salud (Narcomenudeo)",1,Doloso,2,2025-05-15,10:10:00,8,1,7.1.1,Chiapas,7,Huixtla,40,Huixtla,70400001,"Huixtla Centro",32,30640,-92.480163574219,15.141493576542,"San Francisco, HUIXTLA CENTRO, HUIXTLA, CHIAPAS, 30640"
45AB6FAE-5A8A-4611-B7DC-59233178FB1A,07CC5462-A253-4EF7-ABBF-9FC6C61E657B,Despojo,1,Doloso,2,2023-08-04,10:08:00,6,1,4.6,Chiapas,7,Cintalapa,17,"Cintalapa de Figueroa",70170001,"Cintalapa de Figueroa Centro",9,30400,-93.824820449913,16.730355866375,"Emiliano Zapata, Cintalapa, Chiapas, México"
5B327D11-E675-4385-BC81-910159DDF5E9,087D37CC-A0A0-4CAB-A4DD-E18C04875A4C,"Contra la salud (Narcomenudeo)",1,Doloso,2,2025-05-09,11:10:00,8,1,7.1.1,Chiapas,7,Tapachula,89,"Tapachula de Córdova y Ordóñez",70890001,"Fracc. Terranova",430,30700,-92.257927084214,14.869221246965,"Tapachula, FRACC TERRANOVA, TAPACHULA, CHIAPAS, 30700"
154AD922-DBF2-4D08-BFD6-6668545F9BB9,08C3E08D-488B-4F9F-9B98-FB64F64D4E10,"Robo de Vehículo",1,Doloso,2,2025-05-22,13:53:00,6,1,4.1.14,Chiapas,7,Pantelhó,66,Pantelhó,70660001,"Otra colonia",-10,29880,-92.472728741368,17.005526623433,"Guadalupe de la Peña, OTRA COLONIA, PANTELHO, CHIAPAS, 29880"
5725B99C-9196-4915-A58D-B2ACBEBBABB6,093D1C97-F66C-434F-9BAE-1E27C838EA33,Feminicidio,1,Doloso,1,2025-05-20,23:59:00,2,1,1.3,Chiapas,7,"Salto de Agua",77,"Salto de Agua",70770001,"Rubí Tulija",19,29906,-92.032790498097,17.279711072036,"Generación 95, RUBI TULIJA, SALTO DE AGUA, CHIAPAS, 29906"
8CA3F93C-D58D-4901-999B-58CFAD8E8CCB,09862ABC-B91C-4530-B3B7-F34C42C833CB,"Encubrimiento por receptación",1,Culposo,2,2025-05-03,17:40:00,8,1,4.7,Chiapas,7,Tapachula,89,"Tapachula de Córdova y Ordóñez",70890001,"Ciudad de Tapachula",61,30709,-92.262535106365,14.903341345063,"Framboyanes, CIUDAD DE TAPACHULA, TAPACHULA, CHIAPAS, 30709"
C585B410-94EA-4388-A9CF-55A8F89A54CE,0A2F83AB-A760-48A8-A24F-AEA944494E93,"Usurpación de profesión",0,Doloso,2,2024-09-18,14:48:00,8,1,7.8,Chiapas,7,Tapachula,89,"Tapachula de Córdova y Ordóñez",70890001,"Tapachula Centro",325,30700,-92.252538436081,14.893482596088,"Framboyanes, TAPACHULA CENTRO, TAPACHULA, CHIAPAS, 30700"
F4F5D2F8-4138-4D58-9366-0F2BF65D8950,0A438BC9-CD11-42A4-8F99-C20EDC857B9B,Homicidio,1,Culposo,1,2025-05-31,21:36:00,4,1,1.1.2,Chiapas,7,Tuzantán,103,"La Cruz de Oro",71030119,"La Cruz de Oro",72,30680,-92.435784700037,15.126503580137,"LA CRUZ DE ORO, TUZANTAN, CHIAPAS, 30680"
DA75D31B-E452-4870-A7D5-881E30B21BE0,0A739256-F1A5-4745-946F-A406DA1BCD0F,"Contra la salud (Narcomenudeo)",1,Doloso,2,2025-05-04,16:08:00,8,1,7.1.2,Chiapas,7,"Benemérito de las Américas",114,"Benemérito de las Américas",71140001,"Benemérito de las Américas",1,29955,-90.653172011234,16.515306312085,"0, BENEMERITO DE LAS AMERICAS, BENEMERITO DE LAS AMERICAS, CHIAPAS, 29955"
4B61BD0E-EF66-426E-A9E5-E2BC7D566101,0AC3F683-8E03-4F3E-A298-35B0DF36E065,Homicidio,1,Doloso,1,2025-05-23,23:41:00,1,1,1.1.1,Chiapas,7,Tapachula,89,"Tapachula de Córdova y Ordóñez",70890001,"Otra colonia",-10,30700,-92.27108001709,14.899963098062,"Framboyanes, OTRA COLONIA, TAPACHULA, CHIAPAS, 30700"
22A65F62-2357-4D4B-A922-22B05F04117D,0B7164DA-BA3D-43A8-9B0C-7A8EA7BF3BB8,"Encubrimiento por receptación",1,Culposo,2,2025-05-11,13:55:00,8,1,4.7,Chiapas,7,Huixtla,40,Huixtla,70400001,"2 de Octubre",2,30640,-92.456431388855,15.146103146904,"Huixtla, 2 DE OCTUBRE, HUIXTLA, CHIAPAS, 30640"
C832E7DB-8466-41B5-8680-0209240F60B8,0B905895-EBD5-4BB3-A790-D1D3A635089A,"Armas prohibidas",0,Doloso,2,2025-05-13,20:37:00,8,1,7.10,Chiapas,7,Teopisca,94,Teopisca,70940001,Teopisca,10,29410,-92.473297119141,16.542381703219,"Teopisca, TEOPISCA, TEOPISCA, CHIAPAS, 29410"
E6154634-05C2-41F5-8449-B80A4A3EED1A,0BA491AC-5D18-424D-8DA7-42E082CE5E2B,Lesiones,1,Culposo,1,2025-05-12,10:55:00,4,1,1.2.2,Chiapas,7,"Chiapa de Corzo",27,"Chiapa de Corzo",70270001,"Benito Juárez",6,29160,-93.006997704506,16.705864485238,"Avenida Miguel Hidalgo, BENITO JUAREZ, CHIAPA DE CORZO, CHIAPAS, 29160"
CAB8057D-AE34-401F-88C0-808E4A5C8ABC,0BE5143B-BCA0-4F52-B169-AD45746C3A1E,"Violencia familiar",1,Doloso,1,2025-04-12,16:00:00,6,1,5.1,Chiapas,7,"Tuxtla Gutiérrez",101,"Tuxtla Gutiérrez",71010001,"San Roque",395,29080,-93.113014698028,16.74888189456,"Avenida 5a Sur Oriente, SAN ROQUE, TUXTLA GUTIERREZ, CHIAPAS, 29080"
4E7E6481-3AE5-4CF1-9D60-5D8A81F47561,0C8FAC7B-4375-4176-91C5-D930FFB62861,"Robo en Transporte",1,Doloso,1,2025-05-08,00:06:00,2,1,4.1.9,Chiapas,7,Catazajá,16,Catazajá,70160001,Catazaja,3,29980,-92.01358795166,17.723962074686,"Catazajá, CATAZAJA, CATAZAJA, CHIAPAS, 29980"
471CD9B1-49B5-4F37-8082-ADF07C9BD87E,0CD53427-40DD-4691-B9C0-5EE67694BC99,"Encubrimiento por receptación",1,Culposo,2,2025-05-26,19:19:00,8,1,4.7,Chiapas,7,Arriaga,9,"Agua Zarca",70090197,Azteca,4,30461,-93.944300279445,16.221799268261,"AZTECA, ARRIAGA, CHIAPAS, 30461"
