ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,ID_TEXP,RMEN_DE_HCHOS
915,FG-UIFERV/377/2025,2025-05-01,17:00:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA LUNES VEINTIOCHO DE ABRIL DEL DOS MIL VEINTICINCO, APROXIMADAMENTE A LAS OCHO HORAS DE LA MAÑANA, SU HIJO DE IDENTIDAD RESERVADA DE INICIALES A.A.C.S. DE DIECISÉIS AÑOS DE EDAD LLEVO SU MOTOCICLETA MARCA ITALIKA, MODELO VORT-X 250, AÑO 2025, COLOR ROJO Y NEGRO, CON NUMERO DE SERIE LRPK5FLN3SE002179, CON NUMERO DE MOTOR RW172FMM2500002143, A LA PREPARATORIA “CECYTE 08”, UBICADO EN  REFORMA 10, APETATITLÁN, TLAX, DEJANDO LA UNIDAD ESTACIONADA AFUERA DE LA ESCUELA EN LA CERA DE ENFRENTE, Y RECIBIÓ UNA LLAMADA TELEFÓNICA DE UNA AMIGA PREGUNTÁNDOLE SI SE ENCONTRABA EN LA ESCUELA, EL MENCIONANDO QUE SI, QUE SE ENCONTRABA EN EL SALÓN, EN ESE INSTANTE LE MENCIONAN “PENSAMOS QUE TE HABIAS SALIDO, YA QUE TU MOTO NO ESTA”, POR LO QUE DECIDE SALIR A VERIFICAR, AL SALIR SE PERCATA QUE YA NO ESTA Y SE TRASLADA A LA SUBDIRECCIÓN PARA PEDIR AUTORIZACIÓN PARA OBSERVAR LAS CÁMARAS, Y LE INFORMAN QUE LA CÁMARA NO FUNCIONA, POR LO QUE DECIDE REALIZARME UNA LLAMADA TELEFÓNICA PARA INFORMARLE Y LE HACE MENCIÓN QUE HAGA EL REPORTE AL 911. FOLIO 911: 2504280991"
916,FG-UITLAXD-2/107/2025,2025-05-01,16:30:00,1,"EL IMPUTADO CONDUCIA UNA MOTOCCLETA LA CUAL TENIA ESTROBOS ROJOS Y AZUL"
917,FG-UIFERV/378/2025,2025-05-01,21:00:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA DE HOY PRIMERO DE MAYO DEL DOS MIL VEINTICINCO, APROXIMADAMENTE A LAS QUINCE HORAS SE ENCONTRABA EN SU LUGAR DE TRABAJADO DENOMINADO “CASA DE AUTORREALIZACIÓN, UATX”, UBICADO CALLE PRIMERO DE MAYO, NUMERO VEINTE, EL BARRIO DEL ALTO, SANTA CRUZ TLAXCALA, GUARDANDO SUS MATERIALES PARA RETIRARSE Y OBSERVO QUE ENTRA UN MASCULINO DE APROXIMADAMENTE 33 AÑOS DE EDAD, EL CUAL VESTÍA DE PLAYERA AZUL REY, CON GORRA COLOR AZUL REY, PANTALÓN DE MEZCLILLA, MENCIONÁNDOLE “QUIERO QUE ME REHABILITES LOS DIENTES DE ADELANTE”, A LO CUAL LE CONTESTE QUE YA NO PODÍA CONSULTARLO PORQUE TENÍA OTRO PACIENTE, A LO QUE ÉL LE COMENTA “PEDI PERMISO EN MI TRABAJO, POR FAVOR ATIENDAME”, POR LO QUE LE CONTESTA QUE NO ME SERÍA POSIBLE, HASTA EL DÍA DE MAÑANA, A LO QUE LE CONTESTA “ESTA BIEN” Y SE RETIRA, DE MANERA INMEDIATA INGRESA DE MANERA VIOLENTA OTRO MASCULINO DE APROXIMADAMENTE 33 AÑOS DE EDAD, EL CUAL VESTÍA DE PLAYERA GRIS, PANTALÓN DE MEZCLILLA, SIN CABELLO, DE COMPLEXIÓN ROBUSTA, CON UN ARMA DE FUEGO EN LA MANO IZQUIERDA Y LE MENCIONA “AGACHATE AL PISO, SIN GRITAR, Y DAME LLAVES DE LAS INSTALACIONES PORQUE AHÍ TE VAMOS A DEJAR AMARRADO”, MENCIONÁNDOLE QUE NO TENÍA LLAVES DE TODAS LAS INSTALACIONES MÁS QUE DE SU CONSULTORIO, A LO QUE LE CONTESTA “DAME LAS LLAVES DE LA CAMIONETA, TU CELULAR Y NO TE PODEMOS DEJAR AQUÍ, SUBETE A LA CAMIONETA”, A LO QUE LE CONTESTO DÉJAME AQUÍ Y NO DOY PARTE A LAS AUTORIDADES, A LO QUE ME CONTESTA “COOPERATE Y SUBETE”, POR LO QUE DECIDO SUBIRME A LA CAMIONETA ATRÁS DEL PILOTO EN EL SUELO, HACIENDO MENCIÓN QUE EN TODO MOMENTO FUE APUNTANDO CON EL ARMA DE FUEGO, SE SUBIÓ CONMIGO Y ARRANCA MI CAMIONETA MARCA MAZDA, TIPO CX30 IGT, NUMERO DE SERIE 3MVDMCDL3SM784961, NUMERO DE MOTOR PY 40873441, MODELO 2025, CON NUMERO DE PLACAS XXM-831-D PARTICULARES DEL ESTADO DE TLAXCALA FOLIO 911: 2505011853"
918,FG-UIFERV/376/2025,2025-05-01,16:20:00,1,"MANIFIESTA EL COMPARECIENTE QUE EL DÍA MARTES VEINTINUEVE DE ABRIL DEL AÑO EN CURSO, SE ENCONTRABA EN EL TERRENO DE LABOR, UBICADO EN LA ZONA CONOCIDA COMO “TLALMONTONES”, COMO REFERENCIA HAY UNOS CAMPOS DE FUTBOL DENOMINADOS “LA TORRECILLA DE SANTO TORIBIO”, TLAXCALA, APROXIMADAMENTE LAS DIECISIETE HORAS CON TREINTA MINUTOS, CUANDO RECIBE UNA LLAMADA VÍA TELEFÓNICA DE SU ESPOSA, PREGUNTÁDOLE QUE SI PODÍA IR POR ELLA A SU TRABAJO, UBICADO EN SANTO TORIBIO XICOHTZINCO; Y LE DICE QUE SI, POR LO QUE ARRANCA SU MOTOCICLETA MARCA VENTO: PHANTOM S170 CC, 2024, COLOR NEGRO CON ROJO, MODELO 2024, CON NÚMERO DE SERIE: 3MUEFPVBE0R1002528, CON PLACAS DE CIRCULACIÓN : 62XUM7, PARTICULARES DEL ESTADO DE TLAXCALA, Y SE DIRIGE HACIA LA CARRETERA, TOMANDO UN CAMINO POR EL BORDO DEL RÍO ZAHUAPAN,  CUANDO ESCUCHA UN RUIDO DE OTRA MOTO QUE SE APROXIMA HACIA ÉL DE MANERA RÁPIDA, VIENDO QUE VENÍAN TRES SUJETOS A BORDO DE UNA MOTOCICLETA, POR LO QUE EMPIEZO A INCREMENTAR LA VELOCIDAD, DÁNDOLE ALCANCE Y LE CIERRAN EL PASO ORIGINANDO A QUE SE CAIGA CON LA MOTO, POR LO QUE  INMEDIATAMENTE SE BAJAN DOS PERSONAS DEL SEXO MASCULINO AMBOS CON MACHETES Y EL OTRO SUJETO QUE SE QUEDA ARRIBA DE LA MOTO LLEVABA UNA ARMA DE FUEGO, ESTAS DOS PERSONAS LE DICEN QUE SE LEVANTE Y QUE CONDUZCA LA MOTO POR UN CAMINO QUE LLEVA A LOS CAMPOS DE FUTBOL DE SANTO TORIBIO, Y LO EMPIEZAN A DECIR QUE ME AGACHARA Y A DECIR PALABRAS ANTISONANTES, LE EMPIEZAN A REVISAR LAS BOLSAS DEL PANTALÓN, QUITÁNDOLE SU TELÉFONO CELULAR, CARTERA, LLAVES, EL CASCO Y SUS TENIS, LO TIRAN AL PISO Y LE AMARRAN LAS MANOS POR LA PARTE TRASERA CON LAS MISMAS AGUJETAS DE SUS TENIS, ACTO CONTINUO, LO LLEVAN A LA ORILLA DE LA ZANJA Y LE AMARRAN LOS PIES, LE QUITAN SU SUDADERA Y CON ELLA LE VENDAN LOS OJOS, Y AL QUERER INTENTAR ARRANCAR LA MOTO, ÉSTA NO ENCIENDE DERIVADO A QUE TIENE UN CORTO CIRCUITO EN EL SISTEMA DE ENCENDIDO, POR LO QUE UNO DE ELLOS LE DA UNA PATADA EN LAS COSTILLAS Y LE PREGUNTA QUE SI TIENE TRUCO? POR LO QUE CONTESTO QUE NO, QUE SOLO TIENE QUE MOVERLE UN POCO EL VOLANTE PARA QUE ARRANQUE, POR LO QUE LO INTENTA Y LA MOTO ENCIENDE, ÉL CONTINUA TIRANDO EN EL SUELO CON LA PERSONA QUE LO ESTÁ CUIDANDO, ESTANDO UNOS VEINTE MINUTOS APROXIMADAMENTE POSTERIORMENTE YA NO ESCUCHA RUIDO, POR LO QUE INTENTA DESAMARRARSE DE LAS MANOS, LOGRANDO EL OBJETIVO, EMPEZANDO A DESAMARRARSE POR COMPLETO DE LOS PIES Y CABEZA, Y AL DARSE CUENTA QUE YA NO ESTÁN NINGUNA DE LAS PERSONAS, SE ECHÓ A CORRER RUMBO A LA CARRETERA QUE CONDUCE HACÍA SU CASA, PIDIENDO AYUDA A UNA PERSONA QUE IBA PASANDO, PIDIENDO QUE LE REGALARA UNA LLAMADA TELEFÓNICA PARA PONER DEL CONOCIMIENTO A SU ESPOSA Y DEMÁS FAMILIA. POR LO QUE DE INMEDIATO LLAMO AL 911 PARA LEVANTAR EL DEBIDO REPORTE, A LO CUAL ME ATIENDE UNA PERSONA PROPORCIONÁNDOME EL SIGUIENTE NÚMERO DE FOLIO 2504292454 Y ME DIJERON QUE ME TRASLADARA A LA FISCALÍA GENERAL DE JUSTICIA DEL ESTADO, PARA REALIZAR MI FORMAL DENUNCIA, SIENDO EL MONTO DE LO ROBADO POR LA CANTIDAD DE TREINTA MIL PESOS APROXIMADAMENTEES POR TAL MOTIVO QUE VENGO A PRESENTAR FORMAL DENUNCIA POR EL DELITO DE ROBO (MOTOCICLETA, CON VIOLENCIA) COMETIDO EN VICTIMIZACIÓN DEL MISMO Y DE MARIAN LARA MOZO, Y EN CONTRA DE QUIEN Y/O QUIENES RESULTEN INDICIADOS, SIENDO TODO LO QUE TENGO QUE MANIFESTAR."
919,FG-UIAPIZ-D-1/097/2025,2025-05-02,04:45:00,1,"AL INVESTIGADO ROBERTO SE LE ENCONTRO  4 BOLSAS DE PLASTICO TRANSPARENTE LA CUAL EN SU INTERIOR LLEVAN HIERBA VERDE Y SECA CON CARACTERISTICAS PROPIAS DE MARIHUANA Y AL INVESTIGADO JAVIER DE 4 BOLSAS DE PLASTICO TRANSPARENTE LA CUAL EN SU INTERIOR LLEVAN HIERBA VERDE Y SECA CON CARACTERISTICAS PROPIAS DE MARIHUANA, POR LO QUE SE PROCEDE A SU DETENCION."
920,FG-UIFERV/380/2025,2025-05-02,21:40:00,1,"REFIERE EL DENUNCIANTE QUE DEJO ESTACIONADO EL VEHÍCULO  MARCA NISSAN, TIPO V- DRIVE, COLOR AZUL COBALTO, NUMERO DE MOTOR HR16523396U, SERIE 3N1CN7AE3PL722581, NUMERO DE PLACAS DE CIRCULACION VEHICULAR XUZ021-D PARTICULARES DEL ESTADO DE TLAXCALA. FOLIO: 2505021521"
921,FG-UITLAXD-3/108/2025,2025-05-02,16:00:00,1,"SE ROBO UN ESTABLECIMIENTO SIN RAZON SOCIAL"
922,"FG-UI HUAM-015/2025",2025-05-02,16:00:00,1,"REFIERE EL DENUNCIANTE QUEAL LLEGAR A LA ESCUELA SE DA CUENTA QUE TODO ESTA REVUELTO"
923,FG-UIHOM-S/028/2025,2025-05-02,06:15:00,1,"SE RECIBE LLAMADA TELEFÓNICA DEL OFICIAL DE POLICÍA DE INVESTIGACIÓN COMISIONADO AL SERVICIO DE EMERGENCIAS 911, QUIEN INFORMA EL HALLAZGO DE UNA PERSONA QUIEN HASTA ESTE MOMENTO SE ENCUENTRA EN CALIDAD DE NO IDENTIFICADA, MISMA QUE SE ENCUENTA CALCINADA EN EL INTERIOR DE UN VEHÍCULO DE LA MARCA VOLKSWAGEN, TIPO JETTA. EL HALLAZGO"
924,FG-UITLAXD-1/109/2025,2025-05-02,17:00:00,1,"SE ENCONTRABA CONDUCIENDO UNA MOTOCICLETA DE FORMA IMPRUDENTE Y AL MOMENTO DE REALIZAR SU INFRACCION SE PERCATAN QUE TIENE UNA BOLSA PLASTICA LA CUAL CONTIENE HIERBA SECA"
925,FG-UISPM-I/039/2025,2025-05-02,14:00:00,1,"REFIERE EL DENUNCIANTE QUE AL LLEGAR A SU DOMICILIO SE DA CUENTA QUE LA PUERTA ESTA FORZADA Y LE FALTA ALGUNAS COSAS"
926,FG-UIFERV/379/2025,2025-05-02,13:30:00,1,"REFIERE EL DENUNCIANTE QUE SE ENCONTRABA CIRCULANDO A BORDO DE SU MOTOCICLETA MARCA ITALIKA, MODELO: 150Z, AÑO 2025, COLOR NEGRO, CON NÚMERO DE SERIE: 3SCK5ALB1S1032665, MOTOR LC162FMJ058149Q5, SIN PLACAS DE CIRCULACIÓN Y DE PRONTO LE DA ALCANCE UNA MOTOCICLETA CON TRES HOMBRES ABORDO, DESCIENDE UNO DE ELLOS PARA AMENAZAR CON UN OBJETO QUE AL PARECER SE TRATABA DE UNA NAVAJA, DESAPODERÁNDOLO DE SU MOTOCICLETA PARA HUIR DESPUÉS DEL LUGAR. FOLIO 911- 2505012785."
