ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
915,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-04-28,08:00:00,7,1,4.1.2.2,TLAXCALA,29,APETATITLAN,2,APETATITLAN,1,,,90600,19.33212,-98.19645,"REFORMA 10 APETATITLAN"
916,7,"DELITOS CONTRA LA SEGURIDAD DE LA COMUNIDAD","DELITOS CONTRA LA SEGURIDAD DE LA COMUNIDAD",1,2,2025-05-01,09:20:00,7,1,7.10,TLAXCALA,29,PAPALOTLA,41,PAPALOTLA,1,,,90796,19.56368,-98.5785,"CARRETERA VICA CORTA CHIAUTEMPAN PUEBLA PAPALOTLA"
917,4,"ROBO VEHICULO","ROBO VEHICULO",1,1,2025-05-01,15:00:00,1,1,4.1.2.1,TLAXCALA,29,SANTACRUZ,26,SANTACRUZ,1,,,90640,19.35383,-98.15089,"CALLE PRIMERO DE MAYO, NUMERO VEINTE, EL BARRIO DEL ALTO, SANTA CRUZ TLAXCALA"
918,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,1,2025-04-29,17:30:00,1,1,4.1.2.2,TLAXCALA,29,XICOHTZINCO,42,XICOHTZINCO,1,,,90780,19.18134,-98.24713,"UBICADO EN LA ZONA CONOCIDA COMO “TLALMONTONES”, COMO REFERENCIA HAY UNOS CAMPOS DE FUTBOL DENOMINADOS “LA TORRECILLA DE SANTO TORIBIO”, TLAXCALA."
919,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-01,,7,1,7.1.1,TLAXCALA,29,APIZACO,5,APIZACO,1,,,90337,19.41524,-98.13936,"APIZACO TLAXCALA"
920,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-02,11:30:00,7,1,4.1.2.1,TLAXCALA,29,APIZACO,5,APIZACO,1,CENTRO,,90337,19.414325,-98.150302,"JOSÉFA ORTIZ DE DOMÍNGUEZ ENTRE CALLES FRANCISCO SARABIA Y EMILIO CARRANZA, CENTRO APIZACO, TLAXCALA"
921,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-01,,7,1,4.1.11,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,CENTRO,,90805,19.31452,-98.19254,"BERNARDO PICAZO 12 COLONIA CENTRO CHIAUTEMPAN"
922,4,"ROBO ESCUELA","ROBO ESCUELA",1,2,2025-04-13,,7,1,4.1.14,TLAXCALA,29,HUAMANTLA,13,HUAMANTLA,1,"EL CARMEN XALPATLAHUAYA",,905123,19.38682,-97.96661,"UNIDAD TECNOLOGICA DE TLAXCALA HUAMANTLA, TLAXCALA."
923,1,HOMICIDIO,HOMICIDIO,1,1,2025-05-02,,6,1,1.1.1,TLAXCALA,29,"SAN PABLO DEL MONTE",25,"SAN PABLO DEL MONTE",1,"BARRIO SAN SEBASTIAN",,90970,19.0701,-98.11,"CALLES PRIVADA INSURGENTES Y CALLE DE LA SOLEDAD, EN EL BARRIO DE SAN SEBASTIÁN, MUNICIPIO DE SAN PABLO DEL MONTE, TLAXCALA."
924,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-02,,7,1,7.1.1,TLAXCALA,29,"SAN PABLO DEL MONTE",25,"SAN PABLO DEL MONTE",1,,,90970,19.11475,-98.17886,"AV VENUSTIANO CARRANZA S/N BARRIO DE SAN BARTOLOME SAN PABLO DEL MONTE"
925,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-02,,7,1,4.1.1,TLAXCALA,29,TENANCINGO,27,TENANCINGO,1,"SECCION SEGUNDA",,90880,19.14318,-98.19772,"SECCION SEGUNDA MUNICIPIO DE TENACNCINGO"
926,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,1,2025-05-01,21:30:00,1,1,4.1.2.2,TLAXCALA,29,TEPETITLA,19,TEPETITLA,1,,,90700,19.25407,-98.37133,"CAMINO REAL DE SAN RAFAEL, MUNICIPIO DE TEPETITLA DE LARDIZÁBAL, TLAXCALA"
927,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-05-03,17:30:00,7,1,4.1.2.2,TLAXCALA,29,APIZACO,5,APIZACO,1,FERROCARRILERA,,90300,19.41271,-98.1334,"PLAZA COMERCIAL APIZACO, LA CUAL ESTÁ UBICADA EN AVENIDA 16 DE SEPTIEMBRE, COLONIA FERROCARRILERA, APIZACO, TLAXCALA"
928,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-02,22:00:00,7,1,4.1.2.1,TLAXCALA,29,CALPULALPAN,6,"SANTIAGO CUAULA",18,,,90200,19.59949,-98.64953,"CALLE NARANJO NÚMERO SEIS, DE LA POBLACIÓN DE SANTIAGO CUAULA, MUNICIPIO DE CALPULALPAN, TLAXCALA."
929,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-03,,7,1,4.1.11,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,,,90800,19.3145,-98.19799,"CALLE ANTONIO DIAZ VARELA BARRIO DE SAN ONOFRE CHIAUTEMPAN"
930,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,1,2025-05-03,08:40:00,1,1,4.1.2.2,TLAXCALA,29,"DOMINGO ARENAS",11,"MUÑOZ DE DOMINGO ARENAS",1,,,90420,19.47452,-98.20936,"MUÑOZ DE DOMINGO ARENAS,  TLAXCALA."
931,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-04-13,12:00:00,7,1,4.1.2.1,TLAXCALA,29,QUILETLA,59,QUILETLA,1,,,90867,19.20967,-98.22796,"CALLE VILLAHERMOSA, NÚMERO 26, SANTA CRUZ QUILEHTLA, TLAXCALA"
932,7,COHECHO,COHECHO,1,2,2025-05-02,,7,1,7.10,TLAXCALA,29,TEOLOCHOLCO,28,TEOLOCHOLCO,1,,,90850,19.23376,-98.18186,"JOSE MARIA MORELOS SECCION SEXTA TEOLOCHOLCO TLAXCALA"
933,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-02,23:11:00,7,1,4.1.2.1,TLAXCALA,29,TLALTELULCO,48,TLALTELULCO,1,,,90833,19.28833,-98.19531,"CARRETERA VÍA CORTA SANTA ANA-PUEBLA, SIN NÚMERO, BARRIO TECPA MORALES, LA MAGDALENA TLALTELULCO, TLAXCALA"
934,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-03,00:30:00,7,1,4.1.1,TLAXCALA,29,APIZACO,5,"SAN LUIS APIZAQUITO",7,,,90401,19.42956,-9811980,"CALLE LINDA VISTA NÚMERO 13, SAN LUIS APIZAQUITO, APIZACO, TLAXCALA"
935,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-04,14:20:00,7,1,4.1.2.1,TLAXCALA,29,APIZACO,5,APIZACO,1,CENTRO,,90300,19.41000,-98.14135,"AVENIDA JUÁREZ ENTRE CALLE EMILIO CARRANZA Y CALLE FRANCISCO SARABIA, COLONIA CENTRO, APIZACO, TLAXCALA, COMO REFERENCIA A UN COSTADO DEL RESTAURANTE DENOMINADO BUFFA WINGS"
936,4,"ROBO OTROS","ROBO OTROS",1,2,2025-05-04,07:26:00,7,1,4.1.14,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,REFORMA,,90800,19.316413,-98.18996,"INTERIOR DE LAS OFICINAS DEL UBR UBICADO EN CALLE FERROCARRIL NORTE DE LA COLONIA REFORMA, CON COORDENADAS GEORREFERENCIALES 19.316413-98.189960"
937,7,"NARCOMENUDEO ","NARCOMENUDEO ",1,2,2025-05-03,20:50:00,7,1,7.1.1,TLAXCALA,29,CUAPIAXTLA,8,CUAPIAXTLA,1,,,90563,19.3019,-97.768805,"TRAMO CARRETERO MÉXICO VERACRUZ KILÓMETRO 160, BARRIO DE SAN ANTONIO CUAPIAXTLA, TLAXCALA, CON GEORREFERENCIAS 19.301900, -97.768805"
