ID_CI,ID_DELITO,ID_VICF,ID_TV,ID_TPM,SEXO,GENERO,POB,DISC,FHA_NAC,EDAD,NACIONAL,REL_VIC_VMARIO
915,4,930,1,,2,2,,,,40,73,11
916,7,931,3,6,,,,,,,,
917,4,932,1,,1,1,,,,"No específicado",73,11
918,4,933,1,,1,1,,,,26,73,11
919,7,934,3,6,,,,,,,,
920,4,935,1,,1,1,,,,61,73,11
921,4,936,1,,1,1,,,,30,73,11
922,4,937,1,,1,1,,,,"No especificado",73,11
923,1,938,1,,1,1,,,,"No específicado",73,11
924,7,939,3,6,,,,,,,,
925,4,940,1,,2,2,,,,"no especificado",73,11
926,4,941,1,,1,1,,,,27,73,11
927,4,942,1,,1,1,,,,29,73,11
928,4,943,1,,1,1,,,,54,73,11
929,4,944,2,6,,,,,,,,
930,4,945,1,,1,1,,,,"no especificado",73,11
931,4,946,1,,1,1,,,,"no especificado",73,11
932,7,947,3,6,,,,,,,,
933,4,948,1,,2,2,,,,34,73,11
934,4,949,1,,2,2,,,,"no especificado",73,11
935,4,950,1,,1,1,,,,"no especificado",73,11
936,4,951,3,6,,,,,,,,
937,7,952,3,6,,,,,,,,
938,4,953,1,,1,1,,,,57,73,11
939,1,954,1,,1,1,,,,34,73,11
940,4,955,1,,1,1,,,,32,73,11
941,4,956,1,,1,1,,,,"no especificado",73,11
942,4,957,1,,1,1,,,,"no especificado",73,11
943,7,958,3,6,,,,,,,,
944,4,959,2,6,,,,,,,,
945,4,960,1,,1,1,,,,"no especificado",73,11
946,1,961,1,,1,1,,,,"no especificado",73,11
947,1,962,4,,,,,,,,,
948,4,963,4,,,,,,,,,
949,4,964,1,,1,1,,,,24,73,11
950,4,965,1,,1,1,,,,"no especificado",73,11
951,1,966,1,,2,2,,,,"no especificado",73,11
952,4,967,1,,1,1,,,,27,73,11
953,7,968,1,,2,2,,,,"no especificado",73,11
954,4,969,3,6,,,,,,,,
955,4,970,1,,1,1,,,,19,73,11
956,4,971,1,,2,2,,,,"no especificado",73,11
957,5,972,1,,2,2,,,,"no especificado",73,11
958,4,973,2,3,,,,,,,,
959,7,974,1,6,1,1,,,,41,73,11
960,4,975,1,,1,1,,,,21,73,11
961,7,976,3,6,,,,,,,,
962,7,977,3,6,,,,,,,,
963,4,978,1,,2,2,,,,"no especificado",73,11
964,4,979,1,,1,1,,,,"no especificado",73,11
965,7,980,3,6,,,,,,,,
966,4,981,1,,1,1,,,,"no especificado",73,11
967,7,982,3,6,,,,,,,,
968,4,983,1,,2,2,,,,"no especificado",73,11
969,4,984,1,,1,1,,,,"no especificado",73,11
970,7,985,1,6,1,1,,,,27,73,11
971,1,986,1,,1,1,,,,"No específicado",73,11
972,4,987,1,,1,1,,,,24,73,11
973,4,988,1,,2,2,,,,"no especificado",73,11
974,4,989,2,6,,,,,,,,
975,4,990,1,,1,1,,,,41,73,11
976,4,991,1,,1,1,,,,27,73,11
977,7,992,3,6,,,,,,,,
978,7,993,3,6,,,,,,,,
979,4,994,1,,1,1,,,,21,73,11
980,4,995,1,,1,1,,,,46,73,11
981,4,996,1,,1,1,,,,"no especificado",73,11
982,4,997,1,,1,1,,,,"no especificado",73,11
983,4,998,1,,1,1,,,,53,73,11
984,4,999,1,,2,2,,,,31,73,11
985,4,1000,1,,1,1,,,,41,73,11
986,4,1001,1,,1,1,,,,19,73,11
987,7,1002,1,,2,2,,,,"no especificado",73,11
988,4,1003,1,,1,1,,,,"no especificado",73,11
989,1,1004,4,,,,,,,,,
990,1,1005,1,,2,2,,,,"no especificado",73,11
991,4,1006,1,,1,1,,,,"no especificado",73,11
992,1,1007,1,,1,1,,,,23,73,11
993,4,1008,1,,2,2,,,,"no especificado",73,11
994,7,1009,3,6,,,,,,,,
995,4,1010,1,,2,2,,,,"no especificado",73,11
