ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
318cbe22-d1d7-420a-a61c-096d07077008,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-01,01:50:00,1,1,1.1.1,Puebla,21,Puebla,999,,,,,,18.945491117567638,-98.16157054953108,
285c4a9e-e1b6-4e2a-b2c5-dab837c39982,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-01,07:00:00,1,1,1.1.1,Puebla,21,Chietla,999,,,,,,18.482778732140417,-98.6573177576065,
beaae77c-ef36-4018-a897-2b0c94096622,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-01,02:00:00,2,1,1.1.1,Puebla,21,"Izúcar De Matamoros",85,,,,,,18.596532146845664,-98.49412997249145,
ed10fdba-2406-458a-afe6-74b987e6d6df,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2024-10-09,10:55:00,2,1,1.1.1,Puebla,21,"Huitzilan De Serdán",78,,,,,,19.98288584799776,-97.69160290321045,
3ae3616a-6c87-467f-a503-d747443983dd,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-01,00:00:00,1,1,1.1.1,Puebla,21,"Izúcar De Matamoros",85,,,,,,18.590842287731764,-98.46755585107965,
130e44dc-5ff8-4eca-a37a-f13fb44fe395,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-02,00:16:00,1,1,1.1.1,Puebla,21,Tlahuapan,180,,,,,,19.345645767820237,-98.59930543352284,
623c142c-487c-43da-b406-e63c4d58a106,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-02,09:30:00,1,1,1.1.1,Puebla,21,"San Matías Tlalancaleca",134,,,,,,19.370433089148634,-98.48164575880577,
15fb3a86-03c2-4136-bd12-9e61bedb37ea,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-02,15:41:00,6,1,1.1.1,Puebla,21,"Tlacotepec De Benito Juárez",177,,,,,,18.701816840770583,-97.66984687238731,
e40058b6-9e6d-4c81-a610-c5f872735545,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-02,18:08:00,1,1,1.1.1,Puebla,21,Tecamachalco,154,,,,,,18.882927886562292,-97.72628168102035,
aa027a97-2cc0-4c13-acdd-7901b5de3ccd,F8CF95AC-B48A-4380-66B1-08D6BF7203BC,"Homicidio doloso","Homicidio doloso",Calificado,1,2025-04-02,21:37:00,1,1,1.1.1,Puebla,21,Tehuacán,156,,,,,,18.502350656593745,-97.3962693173355,
