ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
320643286,1825238909,DAÑOS,"SIN DATO",3,2025-04-30,00:00:00,8,1,4.5,"QUINTANA ROO",23,"PUERTO MORELOS",011,COLONIA,0009,COLONIA,7,77580,20.862899763454,-86.968056488037,"AVENIDA CONSTITUYENTES, MANZANA 34, LOTE 8, CASA COLOR AZUL DE UN NIVEL, DEL POBLADO DE LEONA VICARIO, MUNICIPIO DE LEONA VICARIO, COMO REFERENCIA RENTE AL SIX LLAMADO “MAL PAN”  AVENIDA CONSTITUYENTES, MANZANA 34, LOTE 8, CASA COLOR AZUL DE UN NIVEL, DEL POBLADO DE LEONA VICARIO, MUNICIPIO DE LEONA VICARIO, COMO REFERENCIA RENTE AL SIX LLAMADO “MAL PAN”"
576217681,1743854511,DAÑOS,SIMPLE,2,2025-05-01,00:00:00,8,1,4.5,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77500,21.17152583579,-86.869179534912,"SUPERMANZANA 251 CALLE ISLA MUJERES  CON ISLA JAMAICA"
576217681,1536057033,LESIONES,SIMPLE,2,2025-05-01,00:00:00,8,1,1.2.2,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77500,21.171365760886,-86.882740783691,"SUPERMANZANA 251 CALLE ISLA MUJERES  CON ISLA JAMAICA"
1957975610,1228682014,"DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES",SIMPLE,2,2025-05-01,00:29:43,8,1,7.10,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77500,21.206578065396,-86.879479217529,"CALLE AVENIDA ARCO NORTE EN DIRECCIÓN A LA AVENIDA RANCHO VIEJO EN ESTA CIUDAD DE BENITO JUÁREZ QUINTANA ROO  AVENIDA RANCHO VIEJO"
781418566,1086418841,"VIOLENCIA FAMILIAR",SIMPLE,1,2025-05-01,00:52:03,8,1,5.1,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77539,21.190470277421,-86.819226074219,"S/D S/D S/D"
1991648153,1450950936,FRAUDE,SIMPLE,2,2025-03-02,23:00:00,8,1,4.3,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77533,21.001901016897,-86.881766899912,"ANTILLAS SM 305, M 1, L 11C  DEPARTAMENTO PH 8C LAGOS DEL SOL SD SD"
124120842,1114200386,DAÑOS,SIMPLE,2,2025-05-01,00:00:00,8,1,4.5,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77500,21.168484382985,-86.88171081543,"SUPERMANZANA 248 MANZANA 36 CASA 12, CERRADA QUINTA PRIVADA LA CEIBA, FRACCIONAMIENTO VILLAS DEL MAR I DE ESTA CIUDAD"
1786583741,1603991033,ROBO,SIMPLE,2,2025-05-01,00:00:00,8,1,4.1.2.2,"QUINTANA ROO",23,"BENITO JUÁREZ",005,CANCÚN,0001,CIUDAD,5,77535,21.158078940098,-86.833473968506,"AVENIDA MORROCOY SD SD"
1732243192,1207195328,"VIOLENCIA FAMILIAR",SIMPLE,1,2025-05-25,05:41:00,8,1,5.1,"QUINTANA ROO",23,"OTHÓN P. BLANCO",004,CHETUMAL,0004,CIUDAD,5,77010,18.154072812656,-86.536028311773,"CALLE HERIBERTO FRIAS ENTRE MANUEL M. DIEGUEZ Y ESTEBAN B. CALDERON DE LA COLONIA ADOLFO LOPEZ MATEOS DE ESTA CIUDAD DE CHETUMAL QUINTANA ROO  ."
1224910811,653189974,"VIOLENCIA FAMILIAR",SIMPLE,1,2024-10-05,00:00:00,8,1,5.1,"QUINTANA ROO",23,"BENITO JUÁREZ",005,RANCHERÍA,0029,CIUDAD,5,77380,21.006901630343,-87.64218788147,"KM 80 SD SD"
