ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
CI/TOL/596/2025,"CI/TOL/596/2025DAÑOS DOLOSOS","DAÑOS DOLOSOS",DOLOSO,2,2025-06-04,09:00:00,8,1,4.05,QUERÉTARO,22,"COLON (QRO)",5,,,"LA PEÑUELA",,,-100.354118,20.583416,"DOMICILIO CONOCIDO"
CI/AME/667/2025,"CI/AME/667/2025ABUSO DE AUTORIDAD","ABUSO DE AUTORIDAD",DOLOSO,1,2025-06-27,23:30:00,7,1,7.08,QUERÉTARO,22,"AMEALCO DE BONFIL (QRO)",1,,,"LA MANZANA",,,-100.354118,20.583416,"CARRETERA ESTATAL 300"
CI/QRO/20730/2025,CI/QRO/20730/2025AMENAZAS,AMENAZAS,DOLOSO,2,2025-06-28,00:00:00,8,1,7.02,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,0,,,-100.354118,20.583416,0
CI/JAL/611/2025,"CI/JAL/611/2025DELITOS CONTRA LA SEGURIDAD PÚBLICA (221 BIS-E)","DELITOS CONTRA LA SEGURIDAD PÚBLICA (221 BIS-E)",DOLOSO,2,2025-06-24,18:30:00,8,1,7.10,QUERÉTARO,22,"JALPAN DE SERRA (QRO)",9,,,"COLONIA SAN MARTIN",,,-100.354118,20.583416,"CARRETERA 120 KILOMETRO 170"
CI/CAD/667/2025,"CI/CAD/667/2025ALLANAMIENTO DE DOMICILIO","ALLANAMIENTO DE DOMICILIO",DOLOSO,2,2025-06-02,00:00:00,8,1,7.03,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,CENTE,,,-100.354118,20.583416,CENTRO
CI/CAD/674/2025,"CI/CAD/674/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-03,21:00:00,7,1,5.01,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,"SAN GASPAR",,,-100.354118,20.583416,"CONOCIDO SAN GASPAR"
CI/CAD/676/2025,CI/CAD/676/2025VIOLACIÓN,VIOLACIÓN,DOLOSO,2,2025-05-31,00:00:00,8,1,3.08.01,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,"EL DOCTOR",,,-100.354118,20.583416,"LOMA DE GUADALUPE"
CI/CAD/685/2025,"CI/CAD/685/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-08,10:00:00,8,1,7.10,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,"LOS VAZQUEZ",,,-99.6660444,20.7912161,"FRANCISCO VILLA"
CI/CAD/688/2025,"CI/CAD/688/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-06,07:00:00,7,1,5.01,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,"SANTA BARBARA",,,-100.354118,20.583416,"VENUSTIANO CARRANZA"
CI/CAD/706/2025,"CI/CAD/706/2025HOMICIDIO (SUICIDIO)","HOMICIDIO (SUICIDIO)",DOLOSO,2,2025-06-12,00:00:00,8,1,7.10,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,TZIBANZA,,,-100.354118,20.583416,"DOMICILIO CONOCIDO"
CI/CAD/731/2025,"CI/CAD/731/2025DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES","DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES",DOLOSO,2,2025-06-17,00:00:00,8,1,7.10,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,"SAN GASPARUESTO",,,-100.354118,20.583416,"MIGUEL HIDALGO"
CI/CAD/733/2025,"CI/CAD/733/2025DELITOS CONTRA LA SEGURIDAD PÚBLICA (221 BIS-E)","DELITOS CONTRA LA SEGURIDAD PÚBLICA (221 BIS-E)",DOLOSO,2,2025-06-17,00:00:00,8,1,7.10,QUERÉTARO,22,"EZEQUIEL MONTES (QRO)",7,,,CENTRO,,,-100.354118,20.583416,"H. HEROICO COLEGIO MILITAR"
CI/CAD/740/2025,"CI/CAD/740/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,2,2025-06-22,00:00:00,8,1,5.01,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,CENTRO,,,-100.354118,20.583416,"JOSE MARIA ARTEAGA"
CI/CAD/749/2025,"CI/CAD/749/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-15,00:00:00,7,1,5.01,QUERÉTARO,22,"CADEREYTA DE MONTES (QRO)",4,,,BO,,,-100.354118,20.583416,ALCATRAZ
CI/JAL/540/2025,"CI/JAL/540/2025ACOSO SEXUAL","ACOSO SEXUAL",DOLOSO,2,2025-06-05,09:00:00,8,1,3.02,QUERÉTARO,22,"LANDA DE MATAMOROS (QRO)",10,,,"EL MADROÑO",,,-100.354118,20.583416,"SIN NOMBRE"
CI/JAL/624/2025,"CI/JAL/624/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-28,23:30:00,7,1,5.01,QUERÉTARO,22,"JALPAN DE SERRA (QRO)",9,,,SOLIDARIDAD,,,-100.354118,20.583416,"20 DE NOVIEMBRE"
CI/JAL/518/2025,"CI/JAL/518/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-05-28,18:30:00,8,1,7.10,COAHUILA,5,"SALTILLO (COA)",999,,,SALTILLO,,,,,N
CI/SJR/3915/2025,"CI/SJR/3915/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-05,21:00:00,8,1,7.10,QUERÉTARO,22,"SAN JUAN DEL RIO (QRO)",16,,,"UNIDAD  FERROCARRILERA",,,,,"AVENIDA TECNOLOGICO"
CI/SJR/4051/2025,"CI/SJR/4051/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-10,17:00:00,8,1,7.10,QUERÉTARO,22,"SAN JUAN DEL RIO (QRO)",16,,,"SAN CAYETANO",,,-100.354118,20.583416,"PRIVADA RIO MOCTEZUMA"
CI/QRO/17395/2025,"CI/QRO/17395/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,2,2025-06-01,01:48:00,8,1,5.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,JURIQUILLA,,,-100.354118,20.583416,"AVENIDA DE LAS CIENCIAS"
CI/QRO/17444/2025,"CI/QRO/17444/2025LESIONES DOLOSAS","LESIONES DOLOSAS",DOLOSO,2,2025-05-31,22:25:00,8,1,1.02.01,QUERÉTARO,22,"MARQUES, EL (QRO)",11,,,"LOCALIDAD DE COYOTILLOS",,,-100.354118,20.583416,"CALLE ALCANFORES"
CI/QRO/17542/2025,"CI/QRO/17542/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-01,21:00:00,7,1,5.01,QUERÉTARO,22,"CORREGIDORA (QRO)",6,,,"SANTA BARBARA",,,-100.4362098,20.5233987,"IGNACIO COMONFORT"
CI/QRO/17570/2025,"CI/QRO/17570/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-01,23:30:00,8,1,7.10,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"EL SALITRE",,,,,JANITZIO
CI/QRO/17595/2025,"CI/QRO/17595/2025ACOSO SEXUAL","ACOSO SEXUAL",DOLOSO,1,2025-05-31,00:00:00,7,1,3.02,QUERÉTARO,22,"MARQUES, EL (QRO)",11,,,"LOS HEROES QUERETARO",,,-100.354118,20.583416,"HACIENDA EL MARQUES"
CI/QRO/17609/2025,"CI/QRO/17609/2025DAÑOS DOLOSOS","DAÑOS DOLOSOS",DOLOSO,2,2025-06-02,00:00:00,8,1,4.05,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,CENTRO,,,-100.3951606,20.5953953,"CALLE IGNACIO ALLENDE NORTE"
CI/QRO/17624/2025,"CI/QRO/17624/2025ROBO A COMERCIO","ROBO A COMERCIO",DOLOSO,2,2025-06-03,03:25:00,8,1,4.01.11,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,CENTRO,,,-100.38994967957,20.598742581479,"AVENIDA UNIVERSIDAD"
CI/QRO/17643/2025,"CI/QRO/17643/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-01-20,16:00:00,7,1,5.01,QUERÉTARO,22,"PEÑAMILLER (QRO)",13,,,"AGUA FRIA",,,-100.354118,20.583416,"AGUA FRIA"
CI/QRO/17742/2025,"CI/QRO/17742/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-03,01:00:00,7,1,5.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"LOMAS DE CASA BLANCA",,,-100.3927278,20.5699305,"CALLE 17"
CI/QRO/17852/2025,"CI/QRO/17852/2025VIOLENCIA DE GÉNERO","VIOLENCIA DE GÉNERO",DOLOSO,2,2025-06-03,16:40:00,8,1,5.02,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"COLINAS DEL PEDREGAL",,,-100.354118,20.583416,"MONTRE SACRO"
CI/QRO/17892/2025,"CI/QRO/17892/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-02,23:30:00,7,1,5.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"UNIDAD NACIONAL",,,-100.354118,20.583416,"LA RRAZALA"
CI/QRO/17902/2025,"CI/QRO/17902/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-01,22:00:00,7,1,5.01,QUERÉTARO,22,"CORREGIDORA (QRO)",6,,,"LA NEGRETA",,,-100.354118,20.583416,CAMELINAS
CI/QRO/17917/2025,"CI/QRO/17917/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-01-26,01:00:00,7,1,5.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"REAL DEL MARQUES RESIDENCIALN",,,-100.354118,20.583416,"AVENIDA REAL DEL MARQUES"
CI/QRO/17936/2025,"CI/QRO/17936/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,2,2025-06-05,00:00:00,8,1,5.01,QUERÉTARO,22,"CORREGIDORA (QRO)",6,,,"SANTA BARBARA",,,-100.354118,20.583416,"DE LA LOMA"
CI/QRO/17979/2025,"CI/QRO/17979/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-05-16,09:00:00,8,1,7.10,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"CASA BLANCA",,,,,"LUIS PASTEUR"
CI/QRO/17987/2025,"CI/QRO/17987/2025NARCOMENUDEO (POSESIÓN CON FINES DE COMERCIO O SUMINISTRO)","NARCOMENUDEO (POSESIÓN CON FINES DE COMERCIO O SUMINISTRO)",DOLOSO,2,2025-06-05,00:00:00,8,1,7.01.02,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"SIN INFORMACION",,,-100.354118,20.583416,"SIN INFORMACION"
CI/QRO/18034/2025,"CI/QRO/18034/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-05-01,00:00:00,8,1,7.10,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"SAN JOSE BUENA VISTAA",,,-100.354118,20.583416,CONSTITUCION
CI/QRO/18057/2025,"CI/QRO/18057/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-06,00:00:00,8,1,7.10,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"SE DESCONOCE",,,-100.354118,20.583416,"SE DESCONOCE"
CI/QRO/18260/2025,"CI/QRO/18260/2025VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",DOLOSO,1,2025-06-09,01:15:00,7,1,5.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"SAN PEDRITO PEÑUELAS",,,-100.354118,20.583416,CIMA
CI/QRO/18346/2025,"CI/QRO/18346/2025HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO","HECHOS POSIBLEMENTE CONSTITUTIVOS DE DELITO",DOLOSO,2,2025-06-09,00:00:00,8,1,7.10,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"SAN PEDRITO PEÑUELAS",,,-100.354118,20.583416,GRANATE
CI/QRO/18376/2025,"CI/QRO/18376/2025NARCOMENUDEO (POSESIÓN SIMPLE)","NARCOMENUDEO (POSESIÓN SIMPLE)",DOLOSO,2,2025-06-09,12:03:00,8,1,7.01.01,QUERÉTARO,22,"QUERÉTARO (QRO)",14,,,"LOMA BONITA",,,-100.354118,20.583416,"CALLE KILIMANJARO ESQUINA CON CALLE 24"
CI/QRO/18384/2025,"CI/QRO/18384/2025DAÑOS DOLOSOS","DAÑOS DOLOSOS",DOLOSO,2,2025-05-30,22:00:00,8,1,4.05,QUERÉTARO,22,"MARQUES, EL (QRO)",11,,,"SANTA CRUZ",,,-100.354118,20.583416,"16 DE SEPTIEMBRE ESQUINA MIGUEL HIDALGO"
