ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
36065,35638,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-06-02,12:53:03,7,3,5.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36068,35641,"DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA",3,2025-06-02,09:00:00,7,3,5.03,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36075,35648,"PRIVACION ILEGAL DE LA LIBERTAD","PRIVACION ILEGAL DE LA LIBERTAD",3,2025-06-05,20:10:44,7,3,2.05,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36077,35650,"LESIONES DOLOSAS","LESIONES DOLOSAS",3,2025-06-06,09:00:00,7,3,1.02.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36082,35655,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-06-09,01:04:00,7,3,5.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36083,35656,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-06-09,18:57:44,7,3,5.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36084,35657,"DESAPARICION COMETIDA POR PARTCIULARES","DESAPARICION COMETIDA POR PARTCIULARES",3,2025-06-09,19:56:34,7,3,2.07.04,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36092,35664,"LESIONES CALIFICADAS; AMENAZAS","LESIONES CALIFICADAS",3,2025-06-10,21:07:00,7,3,1.02.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36092,35665,"LESIONES CALIFICADAS; AMENAZAS",AMENAZAS,3,2025-06-10,21:07:00,7,3,7.02,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36093,35666,"ROBO CON VIOLENCIA","ROBO CON VIOLENCIA",3,2025-06-10,23:23:00,7,3,4.01.05,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36097,35670,"FRAUDE GENERICO","FRAUDE GENERICO",3,2025-06-11,14:06:00,7,3,4.02,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36099,35671,"LESIONES A TITULO CULPOSO","LESIONES A TITULO CULPOSO",3,2025-06-11,21:15:35,7,3,1.02.02,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
36103,35675,"ROBO A COMERCIO","ROBO A COMERCIO",3,2025-06-13,09:56:00,7,3,4.01.11,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
