id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos
519739,511864,Receptación,Simple,2,2025-08-31,23:30:00,6,1,7.10,Michoacán,16,Pátzcuaro,66,Ajuno,160660001,Ajuno,8515,61612,-101.69740985168,19.507463419834,"CARRETERA LIBRE URUAPAN- PÁTZCUARO, A LA ALTU"
521509,513680,"Allanamiento de morada",Simple,1,2025-09-01,00:00:00,6,1,7.03,Michoacán,16,Uruapan,102,Uruapan,161020001,"El Capulín",3535,60015,-102.07287147948,19.474837369346,ZITUN
521509,513676,"Daño en las cosas doloso",Simple,1,2025-09-01,00:00:00,6,1,4.05,Michoacán,16,Uruapan,102,Uruapan,161020001,"El Capulín",3535,60015,-102.07287147948,19.474837369346,ZITUN
513320,505336,Extorsión,Simple,2,2025-05-26,12:00:00,5,1,4.04.01,Michoacán,16,Pátzcuaro,66,"Janitzio (Isla Janitzio)",160660001,"Janitzio (Isla Janitzio)",8533,61616,-101.613312005,19.547035877156,"Muelle las Garzas"
520251,512379,"Homicidio calificado",Calificado,1,2025-09-01,04:20:00,1,1,1.01.01,Michoacán,16,Uruapan,102,Uruapan,161020001,"Sol Azteca",3666,60136,-102.0160271,19.4160802,"CALANDRIA ESQUINA CUITLAHUAC"
519850,511975,"Lesiones en razón de parentesco o relación",Agravado,1,2025-08-30,14:30:00,7,1,1.02.01,Michoacán,16,Yurécuaro,106,Yurécuaro,161060001,"1 de Mayo",2420,59254,-102.28210191402,20.32674544048,"RAMON CORONA "
519869,511994,Fraude,Simple,2,2025-08-01,15:04:00,5,1,4.02,Michoacán,16,Morelia,53,Morelia,160530001,"Misión del Valle",624,58304,-101.1140092,19.7635715,"RTO. FRANCISCO XAVIER LAZCANO "
520463,512594,"Daño en hechos de tránsito vehicular",Simple,2,2025-08-15,14:00:00,4,1,4.05,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,Centro,6144,60950,-102.19365649007,17.953942555343,"FRANCISCO I MADERO "
520994,513136,"Robo a vehículos",Simple,1,2025-09-01,09:08:00,6,1,4.01.14,Michoacán,16,Puruándiro,71,Puruándiro,160710001,Purua,1356,58503,-101.52168747836,20.129159706667,"LOCALIDAD EN PURUANDIRO"
519897,512023,"Robo de vehículo",Agravado/Calificado,1,2025-09-01,02:00:00,1,1,4.01.02.01,Michoacán,16,"Lázaro Cárdenas",52,"Las Peñas",160520001,"Las Peñas",6267,60977,-102.49541696821,18.027188333567,"CARRETERA TECOMAN-LAZARO CARDENAS "
