ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
45359,44957,"NARCOMENUDEO SIMPLE","NARCOMENUDEO SIMPLE",3,2025-09-02,09:00:00,7,3,7.01.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45359,47483,"LESIONES DOLOSAS O INTENCIONALES","LESIONES DOLOSAS O INTENCIONALES",3,2018-02-12,05:00:00,7,3,1.02.01,CAMPECHE,4,CAMPECHE,2,"SAN FRANCISCO DE CAMPECHE",14771,"<SIN INFORMACION...>",17432,,,,"HOSPITAL DE ESPECIALIDADES, SAN FRANCISCO DE CAMPECHE, CAMPECHE, CAMPECHE"
45363,44961,"FRAUDE ","FRAUDE ",3,2025-09-03,09:00:00,7,3,4.02,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45365,44963,"ALLANAMIENTO DE MORADA","ALLANAMIENTO DE MORADA",3,2025-09-04,09:00:00,7,3,7.03,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45365,44964,AMENAZAS,AMENAZAS,3,2025-09-04,09:00:00,7,3,7.02,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45369,44968,"DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA",3,2025-09-04,09:00:00,7,3,5.03,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45373,44972,"NARCOMENUDEO SIMPLE","NARCOMENUDEO SIMPLE",3,2025-09-07,00:45:00,7,3,7.01.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
45379,44980,"LESIONES DOLOSAS O INTENCIONALES","LESIONES DOLOSAS O INTENCIONALES",3,2025-09-08,19:22:19,7,3,1.02.01,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
46381,45982,"DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","DELITOS QUE ATENTAN CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA",3,2025-09-10,01:00:00,7,3,5.03,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
47385,46986,"OPERACIONES CON RECURSOS DE PROCEDENCIA ILÍCITA","OPERACIONES CON RECURSOS DE PROCEDENCIA ILÍCITA",3,2025-09-12,07:50:00,7,3,4.07,CAMPECHE,4,CALKINI,1,CALKINI,14593,"<SIN INFORMACION...>",17253,,,,"<SIN INFORMACION...> , COLONIA <SIN INFORMACION...>, CALKINI, CALKINI, CAMPECHE"
