ID_CI,ID_DELITO,DTO,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
10101945,1010194500061,AMENAZAS,AMENAZAS,3,2025-12-01,00:02:00,7,1,7.02,"CIUDAD DE MEXICO",9,CUAUHTEMOC,15,CUAUHTEMOC,090150001,CONDESA,,,-99.17446607,19.41750669,"AVENIDA VERACRUZ"
10101946,1010194600169,"LESIONES DOLOSAS","LESIONES INTENCIONALES POR GOLPES",1,2025-12-01,00:05:00,6,1,1.02.01,"CIUDAD DE MEXICO",9,"LA MAGDALENA CONTRERAS",8,"LA MAGDALENA CONTRERAS",090080001,"LA CARBONERA",,,-99.25741307,19.29961478,TEPOZAN
10101947,1010194700218,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-12-01,00:10:00,7,1,5.01,"CIUDAD DE MEXICO",9,COYOACAN,3,COYOACAN,090030001,"PEDREGAL DE SANTO DOMINGO",,,-99.16667998,19.3309116,ESCUINAPA
10101948,1010194800218,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-12-01,00:10:00,7,1,5.01,"CIUDAD DE MEXICO",9,"VENUSTIANO CARRANZA",17,"VENUSTIANO CARRANZA",090170001,"MOCTEZUMA 2A SECCIÓN",,,-99.08827633,19.43813727,"NORTE 180"
10101951,1010195100052,"OTROS ROBOS","ROBO DE VEHICULO DE PEDALES",2,2025-12-01,00:34:00,7,1,4.01.14,"CIUDAD DE MEXICO",9,"BENITO JUAREZ",14,"BENITO JUAREZ",090140001,POSTAL,,,-99.14457321,19.39185665,BOLIVAR
10101952,1010195200239,"ROBO DE VEHÍCULO AUTOMOTOR","ROBO DE MOTOCICLETA SIN VIOLENCIA",2,2025-12-01,00:35:00,7,1,4.01.02.02,"CIUDAD DE MEXICO",9,"GUSTAVO A MADERO",5,"GUSTAVO A MADERO",090050001,"SANTA ISABEL TOLA",,,-99.11618739,19.50041757,CACAMA
10101953,1010195300061,AMENAZAS,AMENAZAS,3,2025-12-01,00:38:00,7,1,7.02,"CIUDAD DE MEXICO",9,TLALPAN,12,TLALPAN,090120027,"SAN MIGUEL TOPILEJO",,,-99.15387753,19.19634663,OYAMEL
10101955,1010195500218,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",3,2025-12-01,00:40:00,7,1,5.01,"CIUDAD DE MEXICO",9,"GUSTAVO A MADERO",5,"GUSTAVO A MADERO",090050001,"SAN FELIPE DE JESÚS",,,-99.07033369,19.50012807,"TEPAN GALEANA"
10101956,1010195600020,"ROBO A TRANSEÚNTE EN VÍA PÚBLICA","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA",1,2025-12-01,00:41:00,7,1,4.01.05,"CIUDAD DE MEXICO",9,IZTAPALAPA,7,IZTAPALAPA,090070001,"CENTRAL DE ABASTO",,,-99.09104347,19.37360049,"PASILLO DOS  NAVE  KL"
10101957,1010195701239,"CONTRA LA INTIMIDAD SEXUAL","CONTRA LA INTIMIDAD SEXUAL",1,2025-12-01,00:47:00,7,1,3.09,"CIUDAD DE MEXICO",9,"GUSTAVO A MADERO",5,"GUSTAVO A MADERO",090050001,"GERTRUDIS SÁNCHEZ 2A SECCIÓN",,,-99.09808382,19.46724468,"NORTE 88"
